Clave,Nombre,Tipo,RUC,Nombre Corto,Clave,Correo electronico,Correo electronico 2
00001,RETAIL CENTENARIO S A,Afiliadas,2182171-1-770489,RETAIL CENTENARIO SA,00001,lpravia@udgpanama.com,
00002,"Z RELOJEROS, S.A.",Cliente,780179-1-487966,RELOJIN,00002,david@relojin.com,contabilidad@relojin.com
00004,"TEX FASHION GLOBAL, S.A.",Cliente,180755-1-392091,STUDIO F/ ELA,00004,betzaida.hernandez@texfashionglobal.com.pa,susana.worrell@texfashionglobal.com.pa
00005,NEGOCIOS CINEMATROGRAFICOS INTERNACIONALES S.A.,Cliente,2601135-1-833904,CINEPOLIS,00005,mfloresc@cinepolis.com,cvip_altaplaza_pa@cinepolis.com
00006,"HOGAR Y DECORACIîN, S.A.",Cliente,2426707-1-80864,CONCEPTS LIFE,00006,eduardom@noritex.com,
00008,"SOLƒ ENTERPRISES, S.A.",Cliente,15135021650150,SOLƒ,00008,,
00009,"NAPPA LEATHER, INC.",Cliente,476062-1-434993,VELƒZ,00009,amrestrepo@cuerosvelez.com,admnappa@cuerosvelez.com
00010,"POLO CLUB LONDON, S.A.",Cliente,20717371751634,ROYAL COUNTY,00010,moshepoloclub@cableonda.net,
00011,"SOCIAL RETAIL OPERATIONS, S.A.",Cliente,13525561617708, ZIPPY KID,00011,mack.ibrahim@phoenixwt.com.pa,
00012,"SPORT WEAR CORPORATION, S.A.",Cliente,638045-1-457554,OUTDOORS ADVENTURE,00012,quezada@swcpanama.com,mendieta@swcpanama.com
00013,METRO TRADING IMPORTED CORPORATION S.A.,Cliente,31844-219-245108,ESTAMPA,00013,ygonzalez@estampa.com.pa,cmartinez@estampa.com.pa
00014,"HAYAS GROUP, S.A.",Cliente,25601641827676,ALFEMO,00014,quezada@swcpanama.com,mendieta@swcpanama.com
00016,"SPORTLINE AMERICA, INC.",Cliente,21094-39-189991,SPORTLINE,00016,rosalba.espinosa@sla.com.pa,denisse.ortega@sportline.com.pa
00018,"IZANEKSE, S.A.",Cliente,10402-192-106207,STEVENS,00018,properties@grupotova.com,lina.rodriguez@grupotova.com
00019,MASADA MALL DEVELOPMENT INC.,Cliente,2557547-1-827177,MASADA,00019,madelaine.cozarelli@plazareg.com,celibeth.deleon@plazareg.com
00020,STING RAY DEVELOPMENT INC,Cliente,510146-1-437168,FOREVER 21,00020,rmartinez@plazareg.com,
00021,"RIBA SMITH, S.A.",Cliente,34201-3-255004,RIBA SMITH,00021,yacosta@rimith.com,
00022,"SAMYBET, S.A.",Cliente,34864-31-257990,SAMYBET,00022,yanibel@tova.com.pa,tania.brown@grupotova.com
